City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
264,Inyonga,TZ,-6.72,32.07,66.25,71,27,4.47,scattered clouds
265,Dwarka,IN,22.24,68.97,83.82,39,0,10.51,clear sky
266,Crevedia,RO,44.6,25.93,37.4,100,0,1.12,clear sky
267,Darnah,LY,32.77,22.64,69.03,65,46,14.07,scattered clouds
268,Saskylakh,RU,71.92,114.08,-9.29,89,61,9.69,broken clouds
269,Yarensk,RU,62.17,49.09,26.92,97,0,4.32,clear sky
270,Fremont,US,37.55,-121.99,66.99,45,1,0.98,clear sky
271,Kingaroy,AU,-26.53,151.83,80.6,36,40,3.36,scattered clouds
272,Vestmannaeyjar,IS,63.44,-20.27,39.18,73,84,13.8,broken clouds
273,Yulara,AU,-25.24,130.99,98.6,10,0,12.75,clear sky
274,Tashtyp,RU,52.79,89.9,38.07,73,3,3.51,clear sky
275,Taman,RU,45.21,36.72,51.8,87,54,6.71,broken clouds
276,Porbandar,IN,21.64,69.61,73.4,53,7,10.74,clear sky
277,Torbay,CA,47.67,-52.73,39.99,72,75,12.75,broken clouds
278,Xai-Xai,MZ,-25.05,33.64,70.14,81,21,2.8,few clouds
279,Dharchula,IN,29.85,80.53,72.01,32,0,2.71,clear sky
280,Luwuk,ID,-0.95,122.79,86.38,62,100,6.35,light rain
281,Nowy Tomysl,PL,52.32,16.13,55.0,89,100,1.01,light rain
282,Moose Factory,CA,51.26,-80.61,21.2,79,20,12.75,few clouds
283,Lake City,US,30.19,-82.64,62.6,82,1,6.93,clear sky
284,Maningrida,AU,-12.07,134.27,95.77,32,36,9.6,scattered clouds
285,Altay,CN,47.87,88.12,41.2,54,59,1.12,broken clouds
286,Soyo,AO,-6.13,12.37,77.14,87,100,2.04,overcast clouds
287,Gambo,CF,4.65,22.26,68.76,95,73,1.54,broken clouds
288,Elbistan,TR,38.21,37.2,41.7,69,55,2.57,broken clouds
289,Marsala,IT,37.8,12.44,64.99,81,20,2.24,few clouds
290,Burnie,AU,-41.07,145.92,62.01,63,55,11.01,broken clouds
291,Aswan,EG,24.09,32.91,67.91,59,13,8.23,few clouds
292,Sur,OM,22.57,59.53,79.5,21,0,2.59,clear sky
293,Caravelas,BR,-17.71,-39.25,71.26,87,100,11.99,light rain
294,Ypsonas,CY,34.69,32.96,62.6,77,20,4.7,few clouds
295,Innisfail,AU,-17.53,146.03,88.0,42,0,4.0,clear sky
296,Capao Da Canoa,BR,-29.75,-50.01,63.14,62,67,4.23,broken clouds
297,Alyangula,AU,-13.85,136.42,100.4,15,77,13.87,broken clouds
298,Yelizovo,RU,53.19,158.38,46.4,49,53,4.47,broken clouds
299,San Carlos,VE,9.66,-68.58,73.47,95,99,1.88,light rain
300,Balikpapan,ID,-1.27,116.83,84.2,74,20,5.82,few clouds
301,Aktau,KZ,43.65,51.2,44.6,36,0,6.71,clear sky
302,La Ronge,CA,55.1,-105.28,33.8,86,82,2.24,broken clouds
303,Dudinka,RU,69.41,86.18,19.4,92,75,4.47,broken clouds
304,Bilibino,RU,68.05,166.44,9.43,93,100,1.3,overcast clouds
305,Leningradskiy,RU,69.38,178.42,18.34,84,86,4.45,overcast clouds
306,Karratha,AU,-20.74,116.85,83.41,42,19,16.49,few clouds
307,Black River,JM,18.03,-77.85,80.6,78,75,12.75,broken clouds
308,Singaraja,ID,-8.11,115.09,87.04,59,83,3.85,light rain
309,Komsomolets,KZ,53.75,62.07,28.58,96,41,1.23,scattered clouds
310,Lorengau,PG,-2.02,147.27,85.62,70,29,3.02,light rain
311,Coahuayana,MX,18.73,-103.68,77.9,82,30,2.73,scattered clouds
312,Russell,US,32.35,-85.2,59.0,62,1,11.41,clear sky
313,Hofn,IS,64.25,-15.21,35.46,77,0,14.38,clear sky
314,Chegdomyn,RU,51.12,133.02,33.78,86,100,3.2,overcast clouds
315,Iqaluit,CA,63.75,-68.51,15.8,72,90,9.17,light snow
316,Qesarya,IL,32.52,34.9,69.8,77,40,5.82,scattered clouds
317,Raudeberg,NO,61.99,5.14,46.0,86,100,20.51,moderate rain
318,Naze,JP,28.37,129.48,82.4,78,20,3.36,few clouds
319,Kalmunai,LK,7.42,81.82,85.03,65,70,5.75,broken clouds
320,Salalah,OM,17.02,54.09,71.6,40,0,8.05,clear sky
321,Jurado,CO,7.11,-77.76,76.73,88,100,5.5,light rain
322,Cervo,ES,43.67,-7.41,63.0,88,100,11.01,overcast clouds
323,Jintur,IN,19.62,76.7,79.36,47,0,6.31,clear sky
324,Terney,RU,45.05,136.61,46.47,54,17,10.92,few clouds
325,Necochea,AR,-38.55,-58.74,50.0,85,4,7.0,clear sky
326,Labuhan,ID,-6.88,112.21,86.5,63,99,6.67,moderate rain
327,Mitchell,US,43.71,-98.03,37.4,51,1,10.29,clear sky
328,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,46.4,49,45,4.47,scattered clouds
329,Los Llanos De Aridane,ES,28.66,-17.92,71.6,33,0,9.17,clear sky
330,Belyy Yar,RU,53.6,91.39,30.2,86,62,4.47,broken clouds
331,Gari,RU,59.43,62.35,24.66,97,0,2.84,clear sky
332,Mount Gambier,AU,-37.83,140.77,82.4,26,60,14.99,broken clouds
